unit,value,description
g_kg,1000.0000000,gram per kilogram
kg_mt,1000.0000000,kilogram per metric ton
ccf_m,35.3147000,standard cubic feet per cubic meters
btu_ft,1024.0000000,btu per cubic feet
btu_therm,100000.0000000,btu per therm
btu_ccf,1027.0000000,btu per standard cubic feet
btu_mmbtu,1000000.0000000,btu per 1m btu
tj_mmbtu,0.0010550,terajoules per 1m btu
mt_carbon_dioxide_mt_methane,21.0000000,metric ton carbon dioxide per metric ton methane
mt_carbon_dioxide_mt_nitrious_dioxode,310.0000000,metric ton carbon dioxide per metric ton nitrous oxide
l_gal,3.7854100,liters per gallon
btu_gal_diesel,138000.0000000,btu per gallon diesel
btu_gal_gas,114000.0000000,btu per gallon gas
ft_ccf,100.0000000,cubic feet per ccf
ft_therms,97.3709834,cubic feet per therms
ft_mmbth,973.7098345,cubic feet per 1m btu
ft_mcf,1000.0000000,cubic feet per 1k cubic feet
gal_gal,1.0000000,gallon propane per 1 gallon
gal_lb,0.2380952,gallon propane per lb
gal_kg,0.5249095,gallon propane per kg
mile_km,0.6213710,mile per km
rfi,2.7000000,refractive index
lb_kg,2.2046200,lbs per kg
